DEP_ID,CRS_NUM,CRS_CODE,CRS_NAME,CRS_DESC,CRS_GEAF,CRS_GEGH,CRS_DCOREL,CRS_UNITSTR,CRS_UNITS,CRS_PREREQ,CRS_COREQ,CRS_NOTE
AMST,135,AMST 135mgw,Peoples and Cultures of the Americas,"An introduction to cultures and people in the Americas; the social, historical, economic and cultural formations that together make up the Latino/a American imaginary.",C,G,True,,4,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li><li class=""multicultural""><strong>Diversity:</strong> This course satisfies the university's diversity requirement.</li><li class=""alert""><strong>Note:</strong> Register for lecute, one discussion </li></ul>"
AMST,150,AMST 150gw,The American War in Viet Nam,Examination of the ways that different nations and cultures have remembered the Vietnam War or the American War as it is called in Vietnam. (Duplicates credit in former AMST 377),B,G,True,,4,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li><li class=""alert""><strong>Note:</strong> Register for lecture and one discussion </li></ul>"
AMST,200,AMST 200mg,Introduction to American Studies and Ethnicity,"Introduction to American studies and ethnic studies. Provides an overview of major theories, concepts, and issues.",C,,True,,4,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li><li class=""multicultural""><strong>Diversity:</strong> This course satisfies the university's diversity requirement.</li></ul>"
AMST,204,AMST 204g,Introduction to Native Studies,"Overview of Native American studies, including Indigenous intellectualism and resistance through language revitalization, film-making, and the recognition of one another.",,,False,,4,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li></ul>"
AMST,205,AMST 205g,Introduction to American Popular Culture,"Examines the relation between U.S. national culture, race, and popular culture.",B,,True,,4,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li></ul>"
AMST,206,AMST 206mg,The Politics and Culture of the 1960s,Examines political and cultural change in the United States during the decade of the 1960s.,,,False,,4,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li><li class=""multicultural""><strong>Diversity:</strong> This course satisfies the university's diversity requirement.</li></ul>"
AMST,230,AMST 230g,Introduction to African American Studies,Examines the socio-historical and political imperatives of multi-disciplinary scholarship foundational to the study of African Americans.,C,,True,,4,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li></ul>"
AMST,250,AMST 250mgw,The African Diaspora,"History, political-economy and aesthetics of the African Diaspora with emphasis on Latin America, the Caribbean, Europe and Africa.",C,G,True,,4,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li><li class=""multicultural""><strong>Diversity:</strong> This course satisfies the university's diversity requirement.</li><li class=""alert""><strong>Note:</strong> Register for lecture, one discussion </li></ul>"
AMST,274,AMST 274mw,Exploring Ethnicity through Film,Examination of the constructions of American ethnicity/race in film.,,G,False,,4,,,"<ul class=""notes""><li class=""multicultural""><strong>Diversity:</strong> This course satisfies the university's diversity requirement.</li><li class=""alert""><strong>Note:</strong> Please note that this course does not fulfill Category C: Social Analysis. </li></ul>"
AMST,285,AMST 285mg,African American Popular Culture,"Examines history of popular cultural forms such as literature, music, dance, theater, and visual arts produced by and about African Americans.",,,False,,4,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li><li class=""multicultural""><strong>Diversity:</strong> This course satisfies the university's diversity requirement.</li></ul>"
AMST,301,AMST 301gp,"America, the Frontier, and the New West","Introduction to an interdisciplinary study of American political, cultural and social life with a particular emphasis on the Western United States as a region. Recommended preparation: HIST 200, ENGL 263",B,H,True,,4,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li><li class=""alert""><strong>Note:</strong> Register for lecture and one discussion </li></ul>"
AMST,305,AMST 305,Art and Performance in the Americas,"Critically examine the histories, formations, and possibilities of art andperformance from the 1970s forward.",,,False,,4,,,"<ul class=""notes""></ul>"
AMST,312,AMST 312,Documenting Latinx Los Angeles Food Cultures,"Explores Latinx food in Los Angeles through an anthropological lens. Students experience, document and analyze local food knowledge and traditions through active field study.",,,False,,4,,,"<ul class=""notes""><li class=""crosslist""><strong>Crosslist:</strong> This course is offered by the <a href=""https://classes.usc.edu/term-20231/classes/anth/"">ANTH</a> department but may qualify for major credit in <a href=""https://classes.usc.edu/term-20231/classes/amst/"">AMST</a>. To register, enroll in <a href=""https://classes.usc.edu/term-20231/course/anth-312/"">ANTH 312</a>.</li></ul>"
AMST,325,AMST 325gw,The Middle East in Hollywood,"An examination of how Hollywood representations of the Middle East have changed over the last 100 years, focusing on how representations influence perceptions and policies.",,,False,,4,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li></ul>"
AMST,330,AMST 330m,Black Music and the Political Imagination,"Explores the changing political meanings of black music throughout the 20th century, from freedom to a threat to civil order, from racial integration to Black liberation.",,,False,,4,,,"<ul class=""notes""><li class=""multicultural""><strong>Diversity:</strong> This course satisfies the university's diversity requirement.</li></ul>"
AMST,350,AMST 350,Junior Seminar in American Studies and Ethnicity,"Advanced study in interdisciplinary theories and methods for analyzing race and ethnicity in the United Stes, including a comparative study of topics such as inequality, gender, and class.",,,False,,4,,,"<ul class=""notes""></ul>"
AMST,365,AMST 365,Leadership in the Community -- Internship,8-10 hours per week in a community-based internship plus 2 hour class discussion. Theoretical and practical issues associated with community leadership.,,,False,,4,,,"<ul class=""notes""></ul>"
AMST,373,AMST 373m,History of the Mexican American,Racial and cultural background of Mexico; immigration and conquest; the Mexican in California and the southwest; the rise of contemporary Mexican-American consciousness.,,,False,,4,,,"<ul class=""notes""><li class=""multicultural""><strong>Diversity:</strong> This course satisfies the university's diversity requirement.</li></ul>"
AMST,376,AMST 376m,Contemporary Issues in Asian American Communities,Survey of current social and political issues facing Asian American communities with emphasis on Los Angeles region; design and implementation of community-based research projects.,,,False,,4,,,"<ul class=""notes""><li class=""multicultural""><strong>Diversity:</strong> This course satisfies the university's diversity requirement.</li><li class=""crosslist""><strong>Crosslist:</strong> This course is offered by the <a href=""https://classes.usc.edu/term-20231/classes/soci/"">SOCI</a> department but may qualify for major credit in <a href=""https://classes.usc.edu/term-20231/classes/amst/"">AMST</a>. To register, enroll in <a href=""https://classes.usc.edu/term-20231/course/soci-376/"">SOCI 376</a>.</li></ul>"
AMST,378,AMST 378m,Introduction to Asian American History,"Comparative examination of the social, economic, and political experiences of Asian immigrants and their descendants in the U.S., 1840s-present.",,,False,,4,,,"<ul class=""notes""><li class=""multicultural""><strong>Diversity:</strong> This course satisfies the university's diversity requirement.</li></ul>"
AMST,389,AMST 389m,Carceral Geographies,"Focusing on California, interdisciplinary research teams will study why there are so many new US prisons. What is their relationship to shopping malls, gated communities, globalization?",,,False,,4,Prerequisite: AMST 200,,"<ul class=""notes""><li class=""prereq""><strong>Prerequisite:</strong> <a href=""https://classes.usc.edu/term-20231/course/amst-200/"">AMST 200</a></li><li class=""multicultural""><strong>Diversity:</strong> This course satisfies the university's diversity requirement.</li></ul>"
AMST,392,AMST 392,Undergraduate Research Methods,Examination of processes of scholarly research; quantitative and qualitative research methods; faculty mentorship; experiential learning; research proposal writing; careers in research. Sophomore or junior standing in the major. Departmental approval.,,,False,,2,,,"<ul class=""notes""></ul>"
AMST,424,AMST 424m,Political Participation and American Diversity,Examines how diverse groups in the U.S. interact with the American political system.,,,False,,4,,,"<ul class=""notes""><li class=""multicultural""><strong>Diversity:</strong> This course satisfies the university's diversity requirement.</li><li class=""crosslist""><strong>Crosslist:</strong> This course is offered by the <a href=""https://classes.usc.edu/term-20231/classes/posc/"">POSC</a> department but may qualify for major credit in <a href=""https://classes.usc.edu/term-20231/classes/amst/"">AMST</a>. To register, enroll in <a href=""https://classes.usc.edu/term-20231/course/posc-424/"">POSC 424</a>.</li></ul>"
AMST,445,AMST 445,African American Anthropology,"An examination of anthropological research on race and African American culture, from the 18th century to the present.",,,False,,4,,,"<ul class=""notes""><li class=""crosslist""><strong>Crosslist:</strong> This course is offered by the <a href=""https://classes.usc.edu/term-20231/classes/anth/"">ANTH</a> department but may qualify for major credit in <a href=""https://classes.usc.edu/term-20231/classes/amst/"">AMST</a>. To register, enroll in <a href=""https://classes.usc.edu/term-20231/course/anth-445/"">ANTH 445</a>.</li></ul>"
AMST,449,AMST 449m,Asian American Literature,"Survey of Asian American literature from the earliest time to the present; development of prose, poetry, and novel.",,,False,,4,,,"<ul class=""notes""><li class=""multicultural""><strong>Diversity:</strong> This course satisfies the university's diversity requirement.</li></ul>"
AMST,452,AMST 452m,"Race, Gender and Sexuality","Examination of sexual discourses in the United States in the context of slavery, empire, sex work, labor markets, schools and prisons.",,,False,,4,,,"<ul class=""notes""><li class=""multicultural""><strong>Diversity:</strong> This course satisfies the university's diversity requirement.</li></ul>"
AMST,490,AMST 490x,Directed Research,Individual research and readings. Not available for graduate credit.,,,False,"1.0-8.0 units, max 12",,,,"<ul class=""notes""><li class=""restriction""><strong>Restriction:</strong>  Registration open to the following class level(s): Junior, Senior</li></ul>"
AMST,493,AMST 493,Senior Honors Thesis in American Studies and Ethnicity,Writing the honors thesis; for students in one of the four American Studies and Ethnicity majors and Honors Program.,,,False,,4,,,"<ul class=""notes""></ul>"
AMST,562,AMST 562,The Practice of Ethnography,Major approaches to ethnographic fieldwork are explored in classic cases.,,,False,,4,,,"<ul class=""notes""><li class=""crosslist""><strong>Crosslist:</strong> This course is offered by the <a href=""https://classes.usc.edu/term-20231/classes/anth/"">ANTH</a> department but may qualify for major credit in <a href=""https://classes.usc.edu/term-20231/classes/amst/"">AMST</a>. To register, enroll in <a href=""https://classes.usc.edu/term-20231/course/anth-562/"">ANTH 562</a>.</li></ul>"
AMST,567,AMST 567,"Body, Power and Politics","Surveys interdisciplinary research and theory on the human body, state power, scientific knowledge, professions and representation.",,,False,,4,,,"<ul class=""notes""></ul>"
AMST,570,AMST 570,Readings on Los Angeles and Urban Culture,"Exploration of some of the leading scholarship from a variety of disciplines writing about Los Angeles and the southern California area. Particular emphasis is placed on the intersections of historical, contemporary and cultural issues that inform recent scholarship on Los Angeles.",,,False,,4,,,"<ul class=""notes""></ul>"
AMST,590,AMST 590,Directed Research,Research leading to the master's degree. Maximum units which may be applied to the degree to be determined by the program. Graded CR/NC.,,,False,1.0-12.0 units,,,,"<ul class=""notes""></ul>"
AMST,645,AMST 645,The Middle East in American Studies,"Traces the development of scholarship about Arab, Southwest Asian/North African (SWANA), and Muslim racialization in the context of American Studies and Ethnic Studies.",,,False,,4,,,"<ul class=""notes""></ul>"
AMST,680,AMST 680,Interdisciplinary Research Seminar in Cultural Studies,Explores theoretical approaches to cultural studies as an interdisciplinary field and guides students through the design and completion of a journal-quality research paper. Recommended preparation: graduate reading course in cultural studies,,,False,,4,,,"<ul class=""notes""></ul>"
AMST,701,AMST 701,Contemporary Theories of American Studies and Ethnicity,Seminar in representative theoretical works in the fields of American Studies and Ethnic Studies published in the past fifteen years.,,,False,"4.0 units, max 8",,,,"<ul class=""notes""></ul>"
AMST,790,AMST 790,Research,Research leading to the doctorate. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.,,,False,1.0-12.0 units,,,,"<ul class=""notes""></ul>"
AMST,794A,AMST 794a,Doctoral Dissertation,Credit on acceptance of dissertation. Graded IP/CR/NC.,,,False,,2,,,"<ul class=""notes""></ul>"
AMST,794B,AMST 794b,Doctoral Dissertation,Credit on acceptance of dissertation. Graded IP/CR/NC.,,,False,,2,Prerequisite: AMST 794A,,"<ul class=""notes""><li class=""prereq""><strong>Prerequisite:</strong> <a href=""https://classes.usc.edu/term-20231/course/amst-794A/"">AMST 794A</a></li></ul>"
AMST,794C,AMST 794c,Doctoral Dissertation,Credit on acceptance of dissertation. Graded IP/CR/NC.,,,False,,2,Prerequisite: AMST 794B,,"<ul class=""notes""><li class=""prereq""><strong>Prerequisite:</strong> <a href=""https://classes.usc.edu/term-20231/course/amst-794B/"">AMST 794B</a></li></ul>"
AMST,794D,AMST 794d,Doctoral Dissertation,Credit on acceptance of dissertation. Graded IP/CR/NC.,,,False,,2,Prerequisite: AMST 794C,,"<ul class=""notes""><li class=""prereq""><strong>Prerequisite:</strong> <a href=""https://classes.usc.edu/term-20231/course/amst-794C/"">AMST 794C</a></li></ul>"
AMST,794Z,AMST 794z,Doctoral Dissertation,Credit on acceptance of dissertation. Graded IP/CR/NC.,,,False,,0,Prerequisite: AMST 794D,,"<ul class=""notes""><li class=""prereq""><strong>Prerequisite:</strong> <a href=""https://classes.usc.edu/term-20231/course/amst-794D/"">AMST 794D</a></li></ul>"
ANTH,200,ANTH 200Lg,The Human Animal,"Foundations of the human species. Examination of scientific evidence from Darwinian theory, primate behavior, fossils, and the behavior of modern people. Laboratory. Duplicates credit in former ANTH 200Lg.",,,False,,4,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li><li class=""crosslist""><strong>Crosslist:</strong> This course is offered by the <a href=""https://classes.usc.edu/term-20231/classes/hbio/"">HBIO</a> department but may qualify for major credit in <a href=""https://classes.usc.edu/term-20231/classes/anth/"">ANTH</a>. To register, enroll in <a href=""https://classes.usc.edu/term-20231/course/hbio-200/"">HBIO 200</a>.</li><li class=""alert""><strong>Note:</strong> Register for lecture and one lab </li></ul>"
ANTH,202,ANTH 202g,Archaeology,"Archaeology as the means of investigating our shared human past, from the origins of humanity to the foundations of current civilization.",C,,True,,4,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li></ul>"
ANTH,205,ANTH 205g,Introduction to Global Studies and Cross-cultural Research,"The effects of globalization on social life in diverse communities, approaching related issues from an ethnographic perspective. Gateway course for the Global Studies Major.",C,,True,,4,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li></ul>"
ANTH,263,ANTH 263g,Exploring Culture through Film,"Concepts of social anthropology, using filmic representations of societies throughout the world. Gateway course for the Anthropology major.",C,,True,,4,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li><li class=""alert""><strong>Note:</strong> Register for Lecture and one discussion </li></ul>"
ANTH,301,ANTH 301g,The Global Performance of Healing,Survey of the performance of healing in cross-cultural perspective. The course culminates in field research to Spiritist centers outside the United States.,,,False,,4,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li></ul>"
ANTH,306,ANTH 306,Biology of the Non-Human Primates,"Behavior and ecology of living nonhuman primates, with an emphasis on field studies of apes and monkeys. Topics include aggression, communication, reproduction and cognition.",,,False,,4,,,"<ul class=""notes""><li class=""crosslist""><strong>Crosslist:</strong> This course is offered by the <a href=""https://classes.usc.edu/term-20231/classes/hbio/"">HBIO</a> department but may qualify for major credit in <a href=""https://classes.usc.edu/term-20231/classes/anth/"">ANTH</a>. To register, enroll in <a href=""https://classes.usc.edu/term-20231/course/hbio-306/"">HBIO 306</a>.</li></ul>"
ANTH,309,ANTH 309Lg,"Virtual and Digital Culture, Heritage and Archaeology","In-depth exploration of 3D digital, immersive, virtual or extended reality visualizations of cultural heritage, archaeology, historical sites and artifacts, including their legal and ethical dimensions.",,,False,"2.0-4.0 units, max 4",,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li><li class=""crosslist""><strong>Crosslist:</strong> This course is offered by the <a href=""https://classes.usc.edu/term-20231/classes/arcg/"">ARCG</a> department but may qualify for major credit in <a href=""https://classes.usc.edu/term-20231/classes/anth/"">ANTH</a>. To register, enroll in <a href=""https://classes.usc.edu/term-20231/course/arcg-305/"">ARCG 305</a>.</li></ul>"
ANTH,312,ANTH 312,Documenting Latinx Los Angeles Food Cultures,"Explores Latinx food in Los Angeles through an anthropological lens. Students experience, document and analyze local food knowledge and traditions through active field study.",,,False,,4,,,"<ul class=""notes""></ul>"
ANTH,315,ANTH 315gw,Native North Americans,"Indigenous peoples of North America: major cultural themes, contemporary issues, language revitalization, native sovereignty, environmental issues, decolonization.",C,G,True,,4,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li></ul>"
ANTH,321,ANTH 321,"Space, Place, Perception and Power","The social construction of spaces, places, and landscapes and their reciprocal relationships to human embodied experiences, processes of identity formation and society.",,,False,,4,,,"<ul class=""notes""></ul>"
ANTH,325,ANTH 325,Global Studies Research Methods,"Methods for field research in international settings include ethnography, archival work, surveying and documentation; preparation for overseas research and senior thesis. Recommended preparation: ANTH-205.",,,False,,4,,,"<ul class=""notes""></ul>"
ANTH,333,ANTH 333mg,Forms of Folklore,"Introduction to folklore as a discipline, including folklore research methods and theory. Core course for the minor in Folklore and Popular Culture.",C,,True,,4,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li><li class=""multicultural""><strong>Diversity:</strong> This course satisfies the university's diversity requirement.</li><li class=""alert""><strong>Note:</strong> Register for Lecture and one Discussion </li></ul>"
ANTH,370,ANTH 370,"Sex, Love, and Marriage","Comparative examination of family and kinship in tribal, peasant, and complex societies, emphasizing non-Western cultures, societal and normative consequences of forms and functions in family.",,,False,,4,,,"<ul class=""notes""></ul>"
ANTH,371,ANTH 371mg,Cross-Cultural Research on Urban Gangs,"Youth gang dynamics and their effects on institutions. Comparative analysis of Asian, African, and Mexican American gangs.",C,,True,,4,,,"<ul class=""notes""><li class=""generaleducation""><strong>General Education:</strong> This course satisfies the university's general education requirement.</li><li class=""multicultural""><strong>Diversity:</strong> This course satisfies the university's diversity requirement.</li><li class=""alert""><strong>Note:</strong> Register for Lecture and one Disussion </li></ul>"
ANTH,373,ANTH 373,"Magic, Witchcraft and Healing","Analysis of the practices of witches and witch doctors, priests, diviners and traditional healers in Western and non-Western societies, relating their practices to religion and medicine.",,,False,,4,,,"<ul class=""notes""></ul>"
ANTH,385,ANTH 385m,Men and Masculinity,"Interdisciplinary examination of social, personal meanings of masculinity; variety of male experience by social class, race, sexuality and age; emerging masculinities of the future.",,,False,,4,Prerequisite: (SWMS 210 or SWMS 212 or SWMS 215 or SWMS 219 or SWMS 221),,"<ul class=""notes""><li class=""prereq""><strong>Prerequisite:</strong> 1 from (<a href=""https://classes.usc.edu/term-20231/course/swms-210/"">SWMS 210</a> or <a href=""https://classes.usc.edu/term-20231/course/swms-212/"">SWMS 212</a> or <a href=""https://classes.usc.edu/term-20231/course/swms-215/"">SWMS 215</a> or <a href=""https://classes.usc.edu/term-20231/course/swms-219/"">SWMS 219</a> or <a href=""https://classes.usc.edu/term-20231/course/swms-221/"">SWMS 221</a>)</li><li class=""multicultural""><strong>Diversity:</strong> This course satisfies the university's diversity requirement.</li><li class=""crosslist""><strong>Crosslist:</strong> This course is offered by the <a href=""https://classes.usc.edu/term-20231/classes/swms/"">SWMS</a> department but may qualify for major credit in <a href=""https://classes.usc.edu/term-20231/classes/anth/"">ANTH</a>. To register, enroll in <a href=""https://classes.usc.edu/term-20231/course/swms-385/"">SWMS 385</a>.</li></ul>"
ANTH,393,ANTH 393,Directed Internship,"Real-world work experience in an internship position, while also learning to apply anthropological theory and research methods to complete a related research project. Enrollment requires permission from department.",,,False,"2.0-8.0 units, max 8",,,,"<ul class=""notes""><li class=""restriction""><strong>Restriction:</strong>  Registration open to the following major(s): Anthropology, Anthropology (Visual Anthropology), Global Studies, Visual Anthropology</li><li class=""restriction""><strong>Restriction:</strong>  Registration open to the following class level(s): Junior, Master Student, Senior, Senior (fifth year), Sophomore</li><li class=""restriction""><strong>Restriction:</strong>  Registration open to the following school(s): Dana and David Dornsife College of Letters, Arts and Sciences</li></ul>"
ANTH,401,ANTH 401,Environment and Politics in the Middle East,Introduction to key environmental and political challenges facing the contemporary Middle East and North Africa (MENA).,,,False,,4,,,"<ul class=""notes""><li class=""crosslist""><strong>Crosslist:</strong> This course is offered by the <a href=""https://classes.usc.edu/term-20231/classes/mdes/"">MDES</a> department but may qualify for major credit in <a href=""https://classes.usc.edu/term-20231/classes/anth/"">ANTH</a>. To register, enroll in <a href=""https://classes.usc.edu/term-20231/course/mdes-401/"">MDES 401</a>.</li></ul>"
ANTH,406,ANTH 406,Theory and Method in Human Evolutionary Biology,Historical and theoretical approaches to major issues in the field of human evolutionary biology. Capstone course in which students will undertake an original independent research project.,,,False,,4,Prerequisite: HBIO 200,,"<ul class=""notes""><li class=""prereq""><strong>Prerequisite:</strong> <a href=""https://classes.usc.edu/term-20231/course/hbio-200/"">HBIO 200</a></li><li class=""restriction""><strong>Restriction:</strong>  Registration closed to the following class level(s): Freshmen, Junior, Sophomore</li><li class=""crosslist""><strong>Crosslist:</strong> This course is offered by the <a href=""https://classes.usc.edu/term-20231/classes/hbio/"">HBIO</a> department but may qualify for major credit in <a href=""https://classes.usc.edu/term-20231/classes/anth/"">ANTH</a>. To register, enroll in <a href=""https://classes.usc.edu/term-20231/course/hbio-406/"">HBIO 406</a>.</li></ul>"
ANTH,411,ANTH 411,Thesis Seminar in Ethnographic Analysis,"Social analysis of qualitative and ethnographic research data, advanced ethnographic writing and representation. Capstone course for Anthropology Major.",,,False,,4,,,"<ul class=""notes""></ul>"
ANTH,435,ANTH 435,Ethnic Identity and Minority Politics in China,"Modern history and contemporary conditions of ethnic groups in the People's Republic of China, with a focus on the politics of race, belonging and border regions.",,,False,,4,,,"<ul class=""notes""></ul>"
ANTH,445,ANTH 445,African American Anthropology,"An examination of anthropological research on race and African American culture, from the 18th century to the present.",,,False,,4,,,"<ul class=""notes""></ul>"
ANTH,465,ANTH 465,Archaeology and Society,The interaction of archaeology and contemporary societies through political and moral claims; archaeologists' role as stewards and interpreters of ancient cultures and their remains. Capstone course for the Archaeology major.,,,False,,4,,,"<ul class=""notes""><li class=""crosslist""><strong>Crosslist:</strong> This course is offered by the <a href=""https://classes.usc.edu/term-20231/classes/clas/"">CLAS</a> department but may qualify for major credit in <a href=""https://classes.usc.edu/term-20231/classes/anth/"">ANTH</a>. To register, enroll in <a href=""https://classes.usc.edu/term-20231/course/clas-465/"">CLAS 465</a>.</li></ul>"
ANTH,476,ANTH 476,Ethnographic Film Theory from an Historical Perspective,"Technologies and uses of, theoretical frameworks for, and the presentation styles of visual ethnographic materials are examined from an historical perspective.",,,False,,4,,,"<ul class=""notes""></ul>"
ANTH,485,ANTH 485,Global Studies Capstone Seminar,Provides senior Global Studies majors with the practical and theoretical skills needed to complete the required Senior Capstone project in Global Studies.,,,False,,4,,,"<ul class=""notes""><li class=""restriction""><strong>Restriction:</strong>  Registration open to the following major(s): Global Studies</li><li class=""restriction""><strong>Restriction:</strong>  Registration open to the following class level(s): Senior</li><li class=""restriction""><strong>Restriction:</strong>  Registration open to the following school(s): Dana and David Dornsife College of Letters, Arts and Sciences</li></ul>"
ANTH,490,ANTH 490x,Directed Research,Individual research and readings. Not available for graduate credit.,,,False,"1.0-8.0 units, max 12",,,,"<ul class=""notes""><li class=""restriction""><strong>Restriction:</strong>  Registration open to the following class level(s): Junior, Senior</li></ul>"
ANTH,491,ANTH 491,Directed Research for Honors,Individually guided research and readings culminating in the production of an honors thesis. prerequisite: 3.0 gpa; 201g plus 8 units of upper division ANTH courses.,,,False,,4,Prerequisite: ANTH 201,,"<ul class=""notes""><li class=""prereq""><strong>Prerequisite:</strong> <a href=""https://classes.usc.edu/term-20231/course/anth-201/"">ANTH 201</a></li></ul>"
ANTH,501,ANTH 501,History and Foundations of Anthropology,"A brief critical introduction to the history of anthropological thought over the course of the discipline's long twentieth century, from the 1880s to the present.",,,False,,4,,,"<ul class=""notes""><li class=""restriction""><strong>Restriction:</strong>  Registration open to the following class level(s): Doctoral Student, Master Student</li><li class=""alert""><strong>Note:</strong> . . T T </li></ul>"
ANTH,550,ANTH 550,Global Black Thought,"Examines Black intellectual genealogies across a variety of sites and historical periods, with a thematic emphasis on the traffic of ideas and political forms.",,,False,,4,,,"<ul class=""notes""></ul>"
